First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
10,16,362,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,364,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,366,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,37,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,376,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,377,15,5,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,378,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,38,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,388,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,391,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,396,13,5,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,4,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,400,13,6,7, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,401,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,406,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,412,15,5,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,413,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,421,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,423,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,424,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,426,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,43,16,8,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,430,14,4,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,435,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,44,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,461,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,476,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,478,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,48,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,484,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,489,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,492,13,2,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,493,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,494,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,500,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,504,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,506,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
